County,Office,Candidate,Party,District,Votes
,City-County or City Common Council Member,Jennifer Marie Haley,Republican,SOUTHPORT,271
,City-County or City Common Council Member,JENNIFER SHARKEY,Republican,CITY OF ANGOLA,220
,City-County or City Common Council Member,Jennifer Williams,Republican,HOBART 4TH DISTRICT,358
,City-County or City Common Council Member,Jenny Reffitt-Middleton,Republican,SOUTHEAST,275
,City-County or City Common Council Member,Jeremy Vanerman,Republican,"ALEXANDRIA 1, ALEXANDRIA 2, ALEXANDRIA 3, ALEXANDRIA 4, ALEXANDRIA 5",387
,City-County or City Common Council Member,JEROLD D MCDERMID,Republican,CITY OF ANGOLA,889
,City-County or City Common Council Member,JERRY ERTEL,Republican,Dist 1,92
,City-County or City Common Council Member,Jerry Hackney,Republican,2,104
,City-County or City Common Council Member,Jerry L Purcell,Republican,RICHMOND,2812
,City-County or City Common Council Member,Jerry L. Abell,Republican,ELKHART 4,131
,City-County or City Common Council Member,Jerry Reynolds,Republican,Lafayette City Council District 1,394
,City-County or City Common Council Member,Jesse Bivens,Republican,Dunkirk,186
,City-County or City Common Council Member,Jillian Weihrauch-Brothers,Republican,MT VERNON,486
,City-County or City Common Council Member,Jim Brunner,Republican,"Marion District 1, Marion District 2, Marion District 3, Marion District 4, Marion District 5, Marion District 6",2225
,City-County or City Common Council Member,Jody Weber,Republican,WARD 1,86
,City-County or City Common Council Member,JOE BLOMEKE,Republican,CC5,571
,City-County or City Common Council Member,Joe Duepner,Republican,W3,1014
,City-County or City Common Council Member,Joe Kelich,Republican,ELWOOD 2,172
,City-County or City Common Council Member,JOE KRATOCHVIL,Republican,3,1521
,City-County or City Common Council Member,Joe Paris,Republican,Jeffersonville 3,594
,City-County or City Common Council Member,Joe Sanders,Republican,CROWN POINT 5TH DISTRICT,733
,City-County or City Common Council Member,Joel E. Storm,Republican,MADISON CC DIST 5,277
,City-County or City Common Council Member,Joey Peco,Republican,HOBART 3RD DISTRICT,346
,City-County or City Common Council Member,John B Burdsall,Republican,ALEXANDRIA 2,91
,City-County or City Common Council Member,John Copeland,Republican,Lebanon Ward 5,264
,City-County or City Common Council Member,John D Brutchen,Republican,WINCHESTER,582
,City-County or City Common Council Member,John D Collier,Republican,GARY 6TH DISTRICT,62
,City-County or City Common Council Member,John D Garrett,Republican,5,198
,City-County or City Common Council Member,John D Morgan,Republican,HARRISON 01,117
,City-County or City Common Council Member,John Haynes,Republican,W2,239
,City-County or City Common Council Member,John J Jester,Republican,City of Greenfield,1666
,City-County or City Common Council Member,John Melhiser,Republican,PETERSBURG,119
,City-County or City Common Council Member,John P. Delucia,Republican,F-NC,1258
,City-County or City Common Council Member,John Poor,Republican,ANDERSON 2,383
,City-County or City Common Council Member,John R Boyd,Republican,WINCHESTER 1 and 2,72
,City-County or City Common Council Member,John S Burnsworth,Republican,WABASH,708
,City-County or City Common Council Member,John Stangle,Republican,VINCENNES CITY,269
,City-County or City Common Council Member,John W. Badger- XIV,Republican,MARTINSVILLE,274
,City-County or City Common Council Member,John W. Weingardt,Republican,F-SC,2113
,City-County or City Common Council Member,Jon Dartt,Republican,W1,1041
,City-County or City Common Council Member,Jonathan (Jon) Phillips,Republican,"HENRY 01, HENRY 04, HENRY 09, HENRY 13",290
,City-County or City Common Council Member,Jonathan Nelms   ,Republican,Logansport,804
,City-County or City Common Council Member,JONATHAN WEAVER,Republican,Evansville,7688
,City-County or City Common Council Member,Joni A Delon,Republican,KCC2,413
,City-County or City Common Council Member,Jonne' Messer,Republican,"CENTER 1, CENTER 2, CENTER 3, CENTER 4",314
,City-County or City Common Council Member,Joseph Edward Haley Jr.,Republican,SOUTHPORT 3,51
,City-County or City Common Council Member,Josh Bain,Republican,021,2695
,City-County or City Common Council Member,Josh Burnett,Republican,COLUMBUS,3900
,City-County or City Common Council Member,Josh Prine,Republican,FRANKLIN CITY COUNCIL DIST 1,188
,City-County or City Common Council Member,Josh Taulbee,Republican,Muncie 2,710
,City-County or City Common Council Member,JOSHUA EDWARDS,Republican,1,1554
,City-County or City Common Council Member,Joshua Ferran,Republican,3,72
,City-County or City Common Council Member,Joshua J. Wilber,Republican,"MADISON CC DIST 1, MADISON CC DIST 2, MADISON CC DIST 3, MADISON CC DIST 4, MADISON CC DIST 5",1253
,City-County or City Common Council Member,Joshua Schafer,Republican,MADISON CC DIST 4,434
,City-County or City Common Council Member,Joyce PlisinskI,Republican,3RD CITY COUNCIL DIST.,352
,City-County or City Common Council Member,Judy O'Brien Carlisle,Republican,CT4,91
,City-County or City Common Council Member,Julie Calvert-Watts,Republican,016,2252
,City-County or City Common Council Member,Julie West,Republican,L1,171
,City-County or City Common Council Member,JUSTIN MARTIN,Republican,CITY OF COVINGTON,288
,City-County or City Common Council Member,Justin Noppert,Republican,LAWRENCEBURG 02,74
,City-County or City Common Council Member,Justin R Burkhardt,Republican,RICHMOND,2596
,City-County or City Common Council Member,Karen Boes,Republican,CITY OF BRAZIL WARD IV,30
,City-County or City Common Council Member,Karyl Machek-Feikes,Republican,L2,329
,City-County or City Common Council Member,Kassy Wilson,Republican,1,296
,City-County or City Common Council Member,KATE VOELKER,Republican,MI CITY COUNCIL DIST 4,434
,City-County or City Common Council Member,KATHERINE ASBELL,Republican,"GREENCASTLE WARD 1, GREENCASTLE WARD 2, GREENCASTLE WARD 3, GREENCASTLE WARD 4",966
,City-County or City Common Council Member,Kathy  Blackburn,Republican,CT5,114
,City-County or City Common Council Member,KATHY L EASTER,Republican,CITY OF COVINGTON,294
,City-County or City Common Council Member,Kathy May,Republican,Jasonville,235
,City-County or City Common Council Member,Kayla Krathwohl,Republican,Plymouth,672
,City-County or City Common Council Member,KAYLIE CRANE-CARNAHAN,Republican,CITY OF ATTICA,354
,City-County or City Common Council Member,Keith Campbell,Republican,Lebanon Ward 2,82
,City-County or City Common Council Member,Kelbi Veenstra,Republican,Nappanee,351
,City-County or City Common Council Member,Kellam Venosky,Republican,GOSHEN 4,567
,City-County or City Common Council Member,Ken Austin,Republican,FRANKLIN CITY COUNCIL DIST 4,278
,City-County or City Common Council Member,Ken Ehman,Republican,Tipton 2,249
,City-County or City Common Council Member,Ken G Showalter,Republican,WASHINGTON,704
,City-County or City Common Council Member,Kenneth  (Ken) Totten,Republican,5,321
,City-County or City Common Council Member,Kent  McClung,Republican,5,179
,City-County or City Common Council Member,Kent Anderson,Republican,CCC5,952
,City-County or City Common Council Member,Kent May,Republican,Jasonville,222
,City-County or City Common Council Member,KENT S PRIEBE,Republican,CRAWFORDSVILLE WARD 3,151
,City-County or City Common Council Member,Kevin M Armold,Republican,Rensselaer,874
,City-County or City Common Council Member,Kevin M Webb,Republican,Auburn 2,117
,City-County or City Common Council Member,Kevin Manley,Republican,JASPER COUNCIL 6,417
,City-County or City Common Council Member,Kevin S Smallwood,Republican,Vienna 5,266
,City-County or City Common Council Member,Kimberle F Kramer,Republican,Ward 2,129
,City-County or City Common Council Member,Kullen Cook,Republican,PETERSBURG,152
,City-County or City Common Council Member,Kurt J. Wanninger,Republican,Westfield,4171
,City-County or City Common Council Member,Kurt Mollaun,Republican,GREENDALE 4,130
,City-County or City Common Council Member,Kyle Temple,Republican,Muncie 6,382
,City-County or City Common Council Member,Larry  Hardman,Republican,CT2,129
,City-County or City Common Council Member,Larry L Parker,Republican,4,813
,City-County or City Common Council Member,Larry L. Tunget,Republican,SOUTHPORT 4,65
,City-County or City Common Council Member,Larry M Nuckols,Republican,PORTLAND,485
,City-County or City Common Council Member,Laura Konieczny,Republican,L5,388
,City-County or City Common Council Member,Laura Sauerman,Republican,CROWN POINT 4TH DISTRICT,774
,City-County or City Common Council Member,Lauren Huffman,Republican,LAPORTE,983
,City-County or City Common Council Member,Leesa Friend-Teale,Republican,WINCHESTER 4,139
,City-County or City Common Council Member,Lennie Fryman,Republican,LAWRENCEBURG 04,107
,City-County or City Common Council Member,Leslee R Robinson,Republican,NORTHEAST,338
,City-County or City Common Council Member,Leslie Reilly-Green,Republican,DECATUR 2,181
,City-County or City Common Council Member,Lewis Anne Deputy,Republican,"ELKHART 1, ELKHART 2, ELKHART 3, ELKHART 4, ELKHART 5, ELKHART 6",1815
,City-County or City Common Council Member,Linda D Moore,Republican,ELWOOD 3,138
,City-County or City Common Council Member,Linda J Sanders,Republican,4,475
,City-County or City Common Council Member,Linda J Vannorman,Republican,Knox,280
,City-County or City Common Council Member,Linda S Gibson,Republican,GRWD CITY COUNCIL DIST 1,645
,City-County or City Common Council Member,Linda Starr,Republican,Plymouth,779
,City-County or City Common Council Member,Lisa G Patmore,Republican,4,165
,City-County or City Common Council Member,Lisa G. Schmitz,Republican,017,1731
,City-County or City Common Council Member,Liz Frailey,Republican,Lake Station,77
,City-County or City Common Council Member,Loren Matthes,Republican,W,2539
,City-County or City Common Council Member,Lori Simon,Republican,Valparaiso 1,298
,City-County or City Common Council Member,LOUIS JOE DUBY,Republican,01,680
,City-County or City Common Council Member,Lucy Ann Dattilo,Republican,MADISON CC DIST 3,264
,City-County or City Common Council Member,Luke Fries,Republican,FORT WAYNE,19689
,City-County or City Common Council Member,Lynn Perdue,Republican,NEW CASTLE,1569
,City-County or City Common Council Member,M Shane Litz,Republican,Brazil,133
,City-County or City Common Council Member,MAGGIE DEMAEGD,Republican,"MI CITY COUNCIL DIST 1, MI CITY COUNCIL DIST 2, MI CITY COUNCIL DIST 3, MI CITY COUNCIL DIST 4, MI CITY COUNCIL DIST 5, MI CITY COUNCIL DIST 6",2365
,City-County or City Common Council Member,Malinda Colvin Mackenzie,Republican,JEFFERSONVILLE,2937
,City-County or City Common Council Member,Marc A Mcneece,Republican,VINCENNES CITY,1226
,City-County or City Common Council Member,Margaret J Alexander,Republican,Lake Station,330
,City-County or City Common Council Member,Mark E Mcatee,Republican,LOOGOOTEE,488
,City-County or City Common Council Member,Mark Forcum,Republican,003,3879
,City-County or City Common Council Member,Mark N Hammer,Republican,"GREENCASTLE WARD 1, GREENCASTLE WARD 2, GREENCASTLE WARD 3, GREENCASTLE WARD 4",905
,City-County or City Common Council Member,Mark Northener,Republican,CANNELTON,53
,City-County or City Common Council Member,Mark Turner,Republican,ANDERSON,3808
,City-County or City Common Council Member,Mark W Boice,Republican,N04,676
,City-County or City Common Council Member,Mark William Tuley,Republican,PRINCETON 1,88
,City-County or City Common Council Member,Marquest Higgins,Republican,ANDERSON 6,333
,City-County or City Common Council Member,MARTIN (MARTY) BENDER,Republican,FORT WAYNE,21093
,City-County or City Common Council Member,Martin Smith,Republican,4,154
,City-County or City Common Council Member,Marty Shortridge,Republican,WARD 2,69
,City-County or City Common Council Member,Mary Fisher,Republican,Lafayette City Council District 2,234
,City-County or City Common Council Member,Matt Goldsworthy,Republican,1,184
,City-County or City Common Council Member,Matt Grecu,Republican,"KCC1, KCC2, KCC3, KCC4, KCC5, KCC6",2842
,City-County or City Common Council Member,Matt Hills,Republican,002,3863
,City-County or City Common Council Member,Matt Newbauer,Republican,NEW HAVEN CITY COUNCIL 1ST DISTRICT,246
,City-County or City Common Council Member,Matt Owen,Republican,JEFFERSONVILLE,2970
,City-County or City Common Council Member,Matthew J Dyer,Republican,DECATUR,970
,City-County or City Common Council Member,Matthew J. Snyder,Republican,Carmel,16761
,City-County or City Common Council Member,Matthew P. Schrock,Republican,GOSHEN 3,381
,City-County or City Common Council Member,Matthew R. Murphy,Republican,VALPARAISO,3102
,City-County or City Common Council Member,Matthew Wheeler,Republican,1,156
,City-County or City Common Council Member,Matty Whaling,Republican,Valparaiso 2,498
,City-County or City Common Council Member,MAYTES RIVERA,Republican,2,817
,City-County or City Common Council Member,Megan A Tapley,Republican,OAKLAND CITY 3,38
,City-County or City Common Council Member,Megan Deputy Baughman,Republican,"ELKHART 1, ELKHART 2, ELKHART 3, ELKHART 4, ELKHART 5, ELKHART 6",1784
,City-County or City Common Council Member,Megan G. Wiles,Republican,N06,830
,City-County or City Common Council Member,Megan Sheets,Republican,Frankfort,582
,City-County or City Common Council Member,Melissa C Tucker,Republican,BATESVILLE,243
,City-County or City Common Council Member,Melissa Weidenbach,Republican,PORTAGE,2847
,City-County or City Common Council Member,Melvin L. Mcbrayer,Republican,CANNELTON,169
,City-County or City Common Council Member,Micah Mattingly,Republican,"HENRY 05, HENRY 06, HENRY 10",197
,City-County or City Common Council Member,Michael (Opie) Opinker,Republican,HAMMOND 5TH DISTRICT,594
,City-County or City Common Council Member,Michael A Wolfe,Republican,CIC1,270
,City-County or City Common Council Member,Michael Brite,Republican,Frankfort,92
,City-County or City Common Council Member,Michael Hemmelgarn,Republican,BEECH GROVE 3,434
,City-County or City Common Council Member,Michael Mclaughlin,Republican,GREENDALE 5,127
,City-County or City Common Council Member,Michael Mowery,Republican,NEW HAVEN CITY COUNCIL 4TH DISTRICT,244
,City-County or City Common Council Member,Michael R McGregor,Republican,OAKLAND CITY 2,45
,City-County or City Common Council Member,Michael R. Earnest,Republican,BEECH GROVE 5,203
,City-County or City Common Council Member,Michael Todd Smith,Republican,HARRISON 01,120
,City-County or City Common Council Member,Michael Williams,Republican,GRWD CITY COUNCIL DIST 3,527
,City-County or City Common Council Member,Michael-Paul Hart,Republican,020,3145
,City-County or City Common Council Member,Michele R Brewster,Republican,3,183
,City-County or City Common Council Member,Michelle Harris,Republican,VALPARAISO,3304
,City-County or City Common Council Member,Michelle Jarvis,Republican,AURORA,299
,City-County or City Common Council Member,MIKE BELLOVICH,Republican,MI CITY COUNCIL DIST 2,538
,City-County or City Common Council Member,Mike Campbell,Republican,CITY OF GREENWOOD,2657
,City-County or City Common Council Member,Mike Cline,Republican,Marion District 2,1032
,City-County or City Common Council Member,Mike Davis,Republican,N01,938
,City-County or City Common Council Member,Mike Dilk,Republican,024,4398
,City-County or City Common Council Member,Mike Engleman,Republican,LOOGOOTEE,529
,City-County or City Common Council Member,Mike Guffey,Republican,"HENRY 08, HENRY 11, HENRY 12",240
,City-County or City Common Council Member,Mike S Johnson,Republican,3,552
,City-County or City Common Council Member,Mitzi Pilgrim,Republican,5,272
,City-County or City Common Council Member,Monica Wolak-Castro,Republican,Hobart,1325
,City-County or City Common Council Member,Monty Stutsman,Republican,Vienna 4,192
,City-County or City Common Council Member,Nancy K. Eckerle,Republican,JASPER,1814
,City-County or City Common Council Member,Natalie  Dewitt,Republican,AUBURN,772
,City-County or City Common Council Member,Natalie Goodwin,Republican,004,5131
,City-County or City Common Council Member,Nathan Hartman,Republican,FORT WAYNE CITY COUNCIL 3RD DISTRICT,5296
,City-County or City Common Council Member,Nathan M Kring,Republican,Tipton 4,155
,City-County or City Common Council Member,NATHAN MAUS,Republican,CITY OF ATTICA,235
,City-County or City Common Council Member,Nathan Whidden,Republican,ELKHART 5,154
,City-County or City Common Council Member,Neil A Moody,Republican,PRINCETON 4,85
,City-County or City Common Council Member,Nicholas (Nick) Taulbee,Republican,Muncie 3,696
,City-County or City Common Council Member,Nick McKinley,Republican,"Marion District 1, Marion District 2, Marion District 3, Marion District 4, Marion District 5, Marion District 6",2113
,City-County or City Common Council Member,Nicole Read,Republican,ELKHART 1,484
,City-County or City Common Council Member,Noah Herron,Republican,W5,984
,City-County or City Common Council Member,Noelle Weishaar,Republican,Rensselaer,876
,City-County or City Common Council Member,Norma G Morris,Republican,Jennings 2,73
,City-County or City Common Council Member,Pam Hartford,Republican,"CENTER 1, CENTER 2, CENTER 3, CENTER 4",281
,City-County or City Common Council Member,Pamela Anderson,Republican,LAWRENCE 5,1086
,City-County or City Common Council Member,Pamela M. Bolte,Republican,HUNTINGBURG COUNCIL 4,89
,City-County or City Common Council Member,Patricia Garcia Stiles,Republican,"ELKHART 1, ELKHART 2, ELKHART 3, ELKHART 4, ELKHART 5, ELKHART 6",1582
,City-County or City Common Council Member,PATRICK (PJ) FELTON,Republican,HUNTINGTON,1591
,City-County or City Common Council Member,Patrick Edward Thevenow,Republican,MADISON CC DIST 1,427
,City-County or City Common Council Member,Patrick Flannelly,Republican,WEST LAFAYETTE,1381
,City-County or City Common Council Member,Patrick T. Tamm,Republican,W4,1188
,City-County or City Common Council Member,Paul (Mike) Kincaid,Republican,Lebanon Ward 1,103
,City-County or City Common Council Member,Paul A. Lorey,Republican,JASPER COUNCIL 5,198
,City-County or City Common Council Member,Paul Alvey,Republican,Tell City,664
,City-County or City Common Council Member,Paul Ensley,Republican,FORT WAYNE CITY COUNCIL 1ST DISTRICT,5544
,City-County or City Common Council Member,Paul M. Annee,Republican,022,4782
,City-County or City Common Council Member,PAUL PIKE,Republican,CC2,309
,City-County or City Common Council Member,PAULA K COPENHAVER,Republican,CITY OF COVINGTON,227
,City-County or City Common Council Member,Penny Ambler,Republican,Portage 4,469
,City-County or City Common Council Member,Perry J. Barbee,Republican,Lafayette City Council District 6,180
,City-County or City Common Council Member,Pete Peterson,Republican,F-SE,2431
,City-County or City Common Council Member,Pete Schwartz,Republican,Noblesville,3172
,City-County or City Common Council Member,Peter M. Anderson,Republican,Valparaiso 5,776
,City-County or City Common Council Member,Peter Sahaidachny,Republican,3,166
,City-County or City Common Council Member,Phil R. Deckard II,Republican,5,95
,City-County or City Common Council Member,"Phil R. Deckard, Sr.",Republican,1,55
,City-County or City Common Council Member,Phil Simpson,Republican,3,179
,City-County or City Common Council Member,Philip A. Mundy,Republican,JASPER,1639
,City-County or City Common Council Member,Philip Grams,Republican,W5,266
,City-County or City Common Council Member,Philip N. Davis,Republican,BEECH GROVE 1,269
,City-County or City Common Council Member,Rachel Lee Landers,Republican,ANDERSON,3989
,City-County or City Common Council Member,Randal (Randy) Emmons,Republican,5,242
,City-County or City Common Council Member,Randall Alexander Jr.,Republican,LAKE STATION 5TH DISTRICT,64
,City-County or City Common Council Member,Randy Alexander Sr.,Republican,Lake Station,373
,City-County or City Common Council Member,Randy Coffey,Republican,CITY OF ANGOLA,230
,City-County or City Common Council Member,RANDY L RANDLES,Republican,CITY OF COVINGTON,235
,City-County or City Common Council Member,"Randy Lee, Jr.",Republican,SALEM 4,225
,City-County or City Common Council Member,Randy Longanecker,Republican,Plymouth Council District 4,302
,City-County or City Common Council Member,Randy Murphy,Republican,Dunkirk,187
,City-County or City Common Council Member,Ray A Collins,Republican,KCC3,539
,City-County or City Common Council Member,RAYMOND "RAY" AGAN,Republican,TERRE HAUTE,3888
,City-County or City Common Council Member,Regan L Ford,Republican,KENDALLVILLE,218
,City-County or City Common Council Member,Regina Bowman Blinn,Republican,VINCENNES CITY,487
,City-County or City Common Council Member,RHONDA RICHARDS,Republican,"SB CITY COUNCIL DIST 1, SB CITY COUNCIL DIST 2, SB CITY COUNCIL DIST 3, SB CITY COUNCIL DIST 4, SB CITY COUNCIL DIST 5, SB CITY COUNCIL DIST 6",3369
,City-County or City Common Council Member,Rich Taylor,Republican,Carmel,16547
,City-County or City Common Council Member,Richard F. Comingore,Republican,Rensselaer,520
,City-County or City Common Council Member,Richard J. Vautaw,Republican,Tipton 1,215
,City-County or City Common Council Member,Richard T Steuer Jr.,Republican,GREENDALE 2,79
,City-County or City Common Council Member,Rick Rippy,Republican,TIPTON,846
,City-County or City Common Council Member,Ro Selvey,Republican,MUNCIE,3812
,City-County or City Common Council Member,Robert  Hadley,Republican,Rushville City Council 1,152
,City-County or City Common Council Member,Robert "Bob" Parnell,Republican,Portage 2,636
,City-County or City Common Council Member,Robert (Bob) Bridges,Republican,Rushville,370
,City-County or City Common Council Member,"Robert (Bob) Cannedy, Jr.",Republican,"1, 2, 3, 4, 5",513
,City-County or City Common Council Member,Robert (Bobby) Huber,Republican,5,172
,City-County or City Common Council Member,Robert (Joe) Stevens,Republican,Frankfort,57
,City-County or City Common Council Member,ROBERT (TONY) JARRELL,Republican,VINCENNES CITY,1050
,City-County or City Common Council Member,Robert A (Bob) Byrd,Republican,NEW HAVEN,903
,City-County or City Common Council Member,Robert Lahey,Republican,UNION CITY,219
,City-County or City Common Council Member,Robert M. Olberding,Republican,CANNELTON,140
,City-County or City Common Council Member,Robert R Hawkins,Republican,"Lebanon Ward 1, Lebanon Ward 2, Lebanon Ward 3, Lebanon Ward 4, Lebanon Ward 5",767
,City-County or City Common Council Member,Robin Fouce,Republican,Marion District 4,338
,City-County or City Common Council Member,Rod Williams,Republican,Auburn 3,206
,City-County or City Common Council Member,Roger A. Galloway,Republican,L4,358
,City-County or City Common Council Member,Roger Cuneo,Republican,"ALEXANDRIA 1, ALEXANDRIA 5",104
,City-County or City Common Council Member,Roger K. Pennington,Republican,SALEM,840
,City-County or City Common Council Member,Roger Willoughby,Republican,W1,127
,City-County or City Common Council Member,Ron  Gardner,Republican,Rushville,310
,City-County or City Common Council Member,RON BEANE,Republican,Evansville,6674
,City-County or City Common Council Member,Ron Dudelston,Republican,CIC4,179
,City-County or City Common Council Member,Ronald  May,Republican,4,119
,City-County or City Common Council Member,Ronald Blevins Jr,Republican,Charlestown B,525
,City-County or City Common Council Member,RONDA DELONG,Republican,CITY OF ATTICA,282
,City-County or City Common Council Member,ROOSEVELT LORENZO STEWART SR,Republican,SB CITY COUNCIL DIST 2,190
,City-County or City Common Council Member,ROSS HEINZ,Republican,5,708
,City-County or City Common Council Member,Russ Corbin,Republican,Gas City District 4,152
,City-County or City Common Council Member,Russ Jehl,Republican,FORT WAYNE CITY COUNCIL 2ND DISTRICT,4556
,City-County or City Common Council Member,Russell C. Overton,Republican,Rensselaer,886
,City-County or City Common Council Member,Rusty Levings,Republican,4,135
,City-County or City Common Council Member,Ryan  Gabbard,Republican,Jennings 1,126
,City-County or City Common Council Member,Ryan D Griffith,Republican,CT1,117
,City-County or City Common Council Member,Ryan J. Lough,Republican,VINCENNES CITY,371
,City-County or City Common Council Member,Ryan Locke,Republican,NW,2686
,City-County or City Common Council Member,Ryan Matkins,Republican,BEECH GROVE 2,232
,City-County or City Common Council Member,Sandra  JasionowskI,Republican,Lebanon Ward 3,103
,City-County or City Common Council Member,SCOTT A BLAIR,Republican,6,933
,City-County or City Common Council Member,Scott Anderson,Republican,Jeffersonville 4,681
,City-County or City Common Council Member,Scott Evorik,Republican,Crown Point,2341
,City-County or City Common Council Member,Scott Hawkins,Republican,JEFFERSONVILLE,3444
,City-County or City Common Council Member,SCOTT MOLIN,Republican,Crawfordsville,393
,City-County or City Common Council Member,Scott Murray,Republican,DECATUR 4,253
,City-County or City Common Council Member,Scott Myers,Republican,FORT WAYNE CITY COUNCIL 4TH DISTRICT,5569
,City-County or City Common Council Member,SCOTT VOORHEES,Republican,CITY OF ATTICA,378
,City-County or City Common Council Member,SCOTT W WHALEN,Republican,NEW ALBANY,2661
,City-County or City Common Council Member,Selina Stoller,Republican,F-NW,1785
,City-County or City Common Council Member,Seth L Davidson,Republican,4,287
,City-County or City Common Council Member,Shanda Cortez,Republican,MONTICELLO,503
,City-County or City Common Council Member,Shannon Minnaar,Republican,NE,4326
,City-County or City Common Council Member,Shari Targgart,Republican,KENDALLVILLE,276
,City-County or City Common Council Member,Sharon  McQueen,Republican,1,164
,City-County or City Common Council Member,Shawn Taylor,Republican,CITY OF FRANKLIN,761
,City-County or City Common Council Member,Sherri Flynn,Republican,1,202
,City-County or City Common Council Member,Sherrie L Sievers,Republican,District 1,278
,City-County or City Common Council Member,Sherry Love,Republican,"CENTER 1, CENTER 2, CENTER 3, CENTER 4",421
,City-County or City Common Council Member,Sierra  Messenger,Republican,"Lebanon Ward 1, Lebanon Ward 2, Lebanon Ward 3, Lebanon Ward 4, Lebanon Ward 5",764
,City-County or City Common Council Member,Socrates T. Gray,Republican,W6,318
,City-County or City Common Council Member,SONIA PEREZ,Republican,SB CITY COUNCIL DIST 3,589
,City-County or City Common Council Member,Spencer Kingery,Republican,DELPHI,375
,City-County or City Common Council Member,Stacie E Langdon,Republican,GREENCASTLE WARD 2,537
,City-County or City Common Council Member,Stacy Mize,Republican,PERU,610
,City-County or City Common Council Member,STANLEY HAMILTON,Republican,CRAWFORDSVILLE WARD 5,141
,City-County or City Common Council Member,STEFANIE GRIFFITH,Republican,NEW ALBANY,3028
,City-County or City Common Council Member,Stephen C. McPherron,Republican,HUNTINGBURG COUNCIL 3,300
,City-County or City Common Council Member,Stephen J Arnold,Republican,ELWOOD,453
,City-County or City Common Council Member,Steve Beardsley,Republican,Frankfort,245
,City-County or City Common Council Member,Steve Crane,Republican,SALEM 3,194
,City-County or City Common Council Member,Steve Moan,Republican,CITY OF GREENWOOD,2905
,City-County or City Common Council Member,Steve Webb,Republican,Jeffersonville 6,872
,City-County or City Common Council Member,Stuart  Wilson,Republican,Auburn 5,95
,City-County or City Common Council Member,Sue Norman-Chapple,Republican,CCC3,397
,City-County or City Common Council Member,Sunshine K Colen,Republican,RISING SUN,208
,City-County or City Common Council Member,Susan Entwistle,Republican,CANNELTON,33
,City-County or City Common Council Member,Suzie  Lipps,Republican,4,87
,City-County or City Common Council Member,Tad Varga,Republican,NORTHWEST,265
,City-County or City Common Council Member,Tara M Streb,Republican,KENDALLVILLE,1061
,City-County or City Common Council Member,Teresa Ayers  ,Republican,NC,2425
,City-County or City Common Council Member,Teri Manship,Republican,GRWD CITY COUNCIL DIST 4,694
,City-County or City Common Council Member,Terry  Brewer Jr.,Republican,3,143
,City-County or City Common Council Member,Terry (Bear) Alfrey,Republican,WINCHESTER 1 and 2,84
,City-County or City Common Council Member,Terry Allen Werling,Republican,NEW HAVEN,922
,City-County or City Common Council Member,Terry L Trent,Republican,019,1846
,City-County or City Common Council Member,Theodore (Teddy) Blahnik,Republican,005,1014
,City-County or City Common Council Member,Thomas (Tom) A Gress,Republican,3,152
,City-County or City Common Council Member,"Thomas (Tom) Rowlett, Sr",Republican,LAWRENCEBURG 03,221
,City-County or City Common Council Member,Thomas Freistroffer,Republican,FORT WAYNE,20919
,City-County or City Common Council Member,Thomas J Moore,Republican,5TH CITY COUNCIL DIST.,492
,City-County or City Common Council Member,Thurman Adams,Republican,5,269
,City-County or City Common Council Member,Tiffanie Ditlevson,Republican,Fishers,9860
,City-County or City Common Council Member,Tiffany Harless,Republican,ANDERSON,3826
,City-County or City Common Council Member,Tim Fisher,Republican,2,245
,City-County or City Common Council Member,Tim Franke,Republican,LAPORTE,1255
,City-County or City Common Council Member,Tim W. Richards,Republican,Tipton 3,194
,City-County or City Common Council Member,Timothy Heuss,Republican,UNION CITY,219
,City-County or City Common Council Member,Timothy L Hall,Republican,Vienna 2,189
,City-County or City Common Council Member,TINA NICHOLSON,Republican,GREENCASTLE WARD 3,173
,City-County or City Common Council Member,Todd A Shuck,Republican,CITY OF FRANKLIN,863
,City-County or City Common Council Member,TODD JOHNSON,Republican,CC3,226
,City-County or City Common Council Member,Todd M Sattison,Republican,Garrett 4,129
,City-County or City Common Council Member,Todd Thurston,Republican,N02,839
,City-County or City Common Council Member,Todd Zimmerman,Republican,Fishers,11118
,City-County or City Common Council Member,Tom (Thomas) Miklik,Republican,"KCC1, KCC2, KCC3, KCC4, KCC5, KCC6",2944
,City-County or City Common Council Member,Tom Ashcraft,Republican,LAWRENCE,3472
,City-County or City Common Council Member,Tommy Lee Williams Jr.,Republican,CONNERSVILLE,586
,City-County or City Common Council Member,Tona Miller,Republican,Knox,306
,City-County or City Common Council Member,Tony Scaggs,Republican,Hartford City,862
,City-County or City Common Council Member,Tony Stewart,Republican,"KCC1, KCC2, KCC3, KCC4, KCC5, KCC6",2757
,City-County or City Common Council Member,Tracey Witt,Republican,CIC2,155
,City-County or City Common Council Member,Travis A Schieber,Republican,Knox,353
,City-County or City Common Council Member,Travis W Sills,Republican,HARRISON 01,130
,City-County or City Common Council Member,Valerie Shake,Republican,LAWRENCE 4,500
,City-County or City Common Council Member,Victor McCarty,Republican,W2,767
,City-County or City Common Council Member,Victoria Gresham,Republican,Portage 3,774
,City-County or City Common Council Member,Victoria Griffin,Republican,CCC2,594
,City-County or City Common Council Member,Vince Helming,Republican,JASPER COUNCIL 4,257
