County,Office,Candidate,Party,District,Votes
,State Representative,Kevin Short,Democratic,40,15974
,State Representative,Kyle R Miller,Democratic,81,12653
,State Representative,Lisa Beck,Democratic,19,18135
,State Representative,Loretta Barnes,Democratic,13,8256
,State Representative,Martha "Marty" Lemert,Democratic,52,8322
,State Representative,Matt Pierce,Democratic,61,17499
,State Representative,Maureen Bauer,Democratic,06,17693
,State Representative,Melanie M. Wright,Democratic,35,13570
,State Representative,Michael A. Lovely,Democratic,16,7573
,State Representative,Michael Bienz,Democratic,83,11953
,State Representative,Michael M Stephenson,Democratic,51,5250
,State Representative,Mike Andrade,Democratic,12,18733
,State Representative,Mike Vick,Democratic,29,14228
,State Representative,Mitch Gore,Democratic,89,13898
,State Representative,Naomi S. Bechtold,Democratic,24,21853
,State Representative,Pablo Hurtado III,Democratic,85,8332
,State Representative,Pam Dechert,Democratic,88,18285
,State Representative,Patricia A. (Pat) Boy,Democratic,09,15781
,State Representative,Paula Staley,Democratic,65,8803
,State Representative,Phil GiaQuinta,Democratic,80,15614
,State Representative,Ragen Hatcher,Democratic,03,17262
,State Representative,Renee Pack,Democratic,92,16367
,State Representative,Rita A. Fleming,Democratic,71,19167
,State Representative,Robin Shackleford,Democratic,98,17813
,State Representative,Ross J. Deal,Democratic,07,12498
,State Representative,Ryan D. Hatfield,Democratic,77,13695
,State Representative,Ryan Liedtky,Democratic,21,8446
,State Representative,Ryan M. Dvorak,Democratic,08,16554
,State Representative,Sheila A. Klinker,Democratic,27,14631
,State Representative,Stephen A Folz,Democratic,76,10391
,State Representative,Sue Errington,Democratic,34,11293
,State Representative,Teresa Kendall,Democratic,63,7626
,State Representative,Terri Jo Austin,Democratic,36,12951
,State Representative,Terry Goodin,Democratic,66,13162
,State Representative,Tiffany Grant,Democratic,60,12484
,State Representative,Tim Gust,Democratic,20,9322
,State Representative,Tom Hedde,Democratic,38,8272
,State Representative,Tonda A. Pauley,Democratic,78,11453
,State Representative,Tonya Pfaff,Democratic,43,13172
,State Representative,Vanessa J. Summers,Democratic,99,19414
,State Representative,Vernon G. Smith,Democratic,14,19982
,State Representative,Katrina (Kat) Hardwick,Independent,69,4186
,State Representative,Crystal A. Henry,Libertarian,91,1687
,State Representative,Jason Eicholtz,Libertarian,83,1578
,State Representative,Mark A Renholzberger,Libertarian,97,816
,State Representative,Morgan Rigg,Libertarian,52,1271
,State Representative,Russell (Russ) Brooksbank,Libertarian,71,5523
,State Representative,Alan Morrison,Republican,42,18945
,State Representative,Ann Vermilion,Republican,31,19756
,State Representative,Anthony J. (Tony) Cook,Republican,32,26430
,State Representative,Beau Baird,Republican,44,25118
,State Representative,Ben Smaltz,Republican,52,24713
,State Representative,Bill Treadway,Republican,43,9722
,State Representative,Bob Heaton,Republican,46,23244
,State Representative,Bob Morris,Republican,84,21482
,State Representative,Brad Barrett,Republican,56,19659
,State Representative,Bruce Borders,Republican,45,21522
,State Representative,Chris Jeter,Republican,88,26659
,State Representative,Chris May,Republican,65,23721
,State Representative,Christopher N. Judy,Republican,83,24783
,State Representative,Christy Stutzman,Republican,49,16539
,State Representative,Chuck Goodrich,Republican,29,27618
,State Representative,Cindy Kirchhofer,Republican,89,13173
,State Representative,Cindy Ledbetter,Republican,75,20945
,State Representative,Cindy Meyer Ziemke,Republican,55,24453
,State Representative,Craig Snow,Republican,18,22637
,State Representative,Curt Nisly,Republican,22,20694
,State Representative,Dale Basham,Republican,34,8744
,State Representative,Dale DeVon,Republican,05,14617
,State Representative,Daniel J. (Dan) Leonard,Republican,50,21418
,State Representative,Dave Heine,Republican,85,21238
,State Representative,David H. Abbott,Republican,82,22797
,State Representative,Dennis J. Zent,Republican,51,17633
,State Representative,Dion Bergeron,Republican,09,12096
,State Representative,Donald J. Lehe,Republican,25,22475
,State Representative,Donna Schaibley,Republican,24,30321
,State Representative,Doug Miller,Republican,48,16430
,State Representative,Douglas L Gutwein,Republican,16,21686
,State Representative,Ed Soliday,Republican,04,20072
,State Representative,Edward D. (Ed) Clere,Republican,72,20850
,State Representative,Elizabeth Rowray,Republican,35,16767
,State Representative,Ethan Manning,Republican,23,19827
,State Representative,Felipe Jesus Rios,Republican,94,3629
,State Representative,Gregory E. Steuerwald,Republican,40,24004
,State Representative,Gregory L. Peete,Republican,77,7975
,State Representative,Hal Slager,Republican,15,17813
,State Representative,Heath R. VanNatter,Republican,38,20746
,State Representative,Holli Sullivan,Republican,78,20273
,State Representative,Jack Jordan,Republican,17,19955
,State Representative,Jake Teshka,Republican,07,14668
,State Representative,James T. Hass,Republican,27,8934
,State Representative,Jeff Ellington,Republican,62,19036
,State Representative,Jeffrey A. Thompson,Republican,28,27826
,State Representative,Jerry Torr,Republican,39,23396
,State Representative,Jim Lucas,Republican,69,18784
,State Representative,Jim Pressel,Republican,20,20028
,State Representative,John (J.D.) Prescott,Republican,33,20198
,State Representative,John Jacob,Republican,93,18485
,State Representative,John P. Schmitz,Republican,97,6962
,State Representative,John Young,Republican,47,29343
,State Representative,Julie Olthoff,Republican,19,19496
,State Representative,Karen Engleman,Republican,70,25166
,State Representative,Kyle Pierce,Republican,36,11485
,State Representative,Martin Carbaugh,Republican,81,13725
,State Representative,Matt Hostettler,Republican,64,25191
,State Representative,Matthew S. Lehman,Republican,79,24342
,State Representative,Michael J. Aylesworth,Republican,11,25742
,State Representative,Michelle Davis,Republican,58,22282
,State Representative,Mike Karickhoff,Republican,30,19226
,State Representative,Mike Speedy,Republican,90,22311
,State Representative,Paul J. Tinkle,Republican,86,11930
,State Representative,Peggy Mayfield,Republican,60,21712
,State Representative,Randy Frye,Republican,67,25093
,State Representative,Randy Lyness,Republican,68,29267
,State Representative,Robert W. Behning,Republican,91,16113
,State Representative,Robert W. Cherry,Republican,53,26862
,State Representative,Ryan C. Royer,Republican,87,13549
,State Representative,Ryan Lauer,Republican,59,17729
,State Representative,Sean R. Eberhart,Republican,57,24315
,State Representative,Shane M. Lindauer,Republican,63,21494
,State Representative,Sharon Negele,Republican,13,22080
,State Representative,Stephen R. Bartels,Republican,74,23511
,State Representative,Steve Davisson,Republican,73,23869
,State Representative,Thomas E. (Tom) Saunders,Republican,54,23508
,State Representative,Tim Brown,Republican,41,22639
,State Representative,Timothy Jaycox,Republican,08,12568
,State Representative,Timothy Wesco,Republican,21,15346
,State Representative,Todd Huston,Republican,37,24591
,State Representative,Tom Wichlinski,Republican,12,13730
,State Representative,Wayne (Gunny) Harmon,Republican,100,8037
,State Representative,Wendy (Mac) McNamara,Republican,76,18507
,State Representative,Zach Payne,Republican,66,16588
,"Judge, Circuit Court",A. Christopher Lee,Democratic,Fulton,5927
,"Judge, Circuit Court",Andrew (Drew) Adams,Democratic,Clark,24689
,"Judge, Circuit Court",G. George Pancol,Democratic,Madison,22009
,"Judge, Circuit Court",Geoff Bradley,Democratic,Monroe,37414
,"Judge, Circuit Court",Jon A. Dartt,Democratic,Spencer,6482
,"Judge, Circuit Court",Joseph P. Weber,Democratic,Clark,27784
,"Judge, Circuit Court",Kara Elaine Krothe,Democratic,Monroe,35466
,"Judge, Circuit Court",Kyle F. Noone,Democratic,Madison,21125
,"Judge, Circuit Court",Linda Ralu Wolf,Democratic,Delaware,29499
,"Judge, Circuit Court",Lynn Murray,Democratic,Howard,24597
,"Judge, Circuit Court",Mitch Peters,Democratic,Porter,37493
,"Judge, Circuit Court",Nathan A. Verkamp,Democratic,Dubois,12397
,"Judge, Circuit Court",Robert (Bob) E. Hunley II,Democratic,Sullivan,5880
,"Judge, Circuit Court",Rosemary Khoury,Democratic,Madison,18738
,"Judge, Circuit Court",Sheryl Lynch,Democratic,Marion,286254
,"Judge, Circuit Court",Thomas A. Cannon Jr.,Democratic,Delaware,29420
,"Judge, Circuit Court",Valeri Haughton,Democratic,Monroe,42764
,"Judge, Circuit Court",W. Gregory (Greg) Coy,Democratic,Switzerland,2432
,"Judge, Circuit Court",Angela Warner Sims,Republican,Madison,41895
,"Judge, Circuit Court",Bradley Jacobs,Republican,Clark,40770
,"Judge, Circuit Court",Carl Lamb,Republican,Monroe,23466
,"Judge, Circuit Court",Clay M. Kellerman,Republican,Franklin,10335
,"Judge, Circuit Court",Curtis D. Palmer,Republican,Marshall,15953
,"Judge, Circuit Court",Dan Moore,Republican,Clark,31578
,"Judge, Circuit Court",Dan Zielinski,Republican,Hendricks,64583
,"Judge, Circuit Court",David Happe,Republican,Madison,32433
,"Judge, Circuit Court",Greg A. Granger,Republican,Warrick,25575
,"Judge, Circuit Court",Gregory A. Smith,Republican,Daviess,10492
,"Judge, Circuit Court",John C. Wright,Republican,Benton,3534
,"Judge, Circuit Court",John M. Feick,Republican,Delaware,34805
,"Judge, Circuit Court",Judith Benckart,Republican,Monroe,25573
,"Judge, Circuit Court",Kelsey B. Hanlon,Republican,Owen,8377
,"Judge, Circuit Court",Kevin D. Crouse,Republican,Dubois,9152
,"Judge, Circuit Court",Mary DeBoer,Republican,Porter,48104
,"Judge, Circuit Court",Murielle (Ellie) S. Webster Bright,Republican,Jennings,10272
,"Judge, Circuit Court",N. Lisa Glickfield,Republican,Clark,28080
,"Judge, Circuit Court",Nathan G. Nikirk,Republican,Lawrence,17563
,"Judge, Circuit Court",Paul Arthur Felix,Republican,Hamilton,137164
,"Judge, Circuit Court",Ryan J. King,Republican,Ripley,12088
,"Judge, Circuit Court",Scott A. Norrick,Republican,Madison,29999
,"Judge, Circuit Court",Stephen J. Koester,Republican,Madison,29210
,"Judge, Circuit Court",Thomas R. Lett,Republican,Tipton,6753
,"Judge, Circuit Court",Timothy (Tim) Spahr,Republican,Miami,12070
,"Judge, Circuit Court",Victor Ippoliti,Republican,Spencer,4239
,"Judge, Circuit Court",Wendy Davis,Republican,Allen,121156
,"Judge, Superior Court",Antony Garza,Democratic,Kosciusko,10734
,"Judge, Superior Court",Bryan K. Coulter,Democratic,Tippecanoe,31761
,"Judge, Superior Court",Chelsea Stanley,Democratic,Floyd,15748
,"Judge, Superior Court",David L. Chidester,Democratic,Porter,42363
,"Judge, Superior Court",Greta S. Friedman,Democratic,LaPorte,29525
,"Judge, Superior Court",Hugh R. (H.R.) Hunt,Democratic,Sullivan,5970
,"Judge, Superior Court",Jacque Chosnek,Democratic,Tippecanoe,32551
,"Judge, Superior Court",Lakshmi (Lucky) Reddy,Democratic,Vigo,30307
,"Judge, Superior Court",Maria Granger,Democratic,Floyd,25826
,"Judge, Superior Court",Mary Jean (Jeannie) Stotts,Democratic,Jefferson,6220
,"Judge, Superior Court",Matt Soliday,Democratic,Porter,42268
,"Judge, Superior Court",Matthew A. Sheehan,Democratic,Vigo,30230
,"Judge, Superior Court",Matthew D. Boulac,Democratic,Tippecanoe,29711
,"Judge, Superior Court",Matthew W. Lorch,Democratic,Floyd,17543
,"Judge, Superior Court",Michael S. Bergerson,Democratic,LaPorte,23402
,"Judge, Superior Court","Richard Robert Stalbrink, Jr.",Democratic,LaPorte,30292
,"Judge, Superior Court",Steven P. Meyer,Democratic,Tippecanoe,46374
,"Judge, Superior Court",Susan McDonald Umpleby,Democratic,Orange,4083
,"Judge, Superior Court",Christopher Redmaster,Independent,Montgomery,4917
,"Judge, Superior Court",Sam Conrad,Independent,Adams,7997
,"Judge, Superior Court",Andrea R. Trevino,Non Partisan,Allen,108610
,"Judge, Superior Court",Craig J. Bobay,Non Partisan,Allen,105516
,"Judge, Superior Court",David M. Zent,Non Partisan,Allen,106268
,"Judge, Superior Court",Fran C. Gull,Non Partisan,Allen,108495
,"Judge, Superior Court",Jennifer L. DeGroote,Non Partisan,Allen,105953
,"Judge, Superior Court",Leslie (Les) C. Shively,Non Partisan,Vanderburgh,37654
,"Judge, Superior Court",Adam Squiller,Republican,DeKalb,15879
,"Judge, Superior Court",AmyMarie Travis,Republican,Jackson,16374
,"Judge, Superior Court",Andrew K. Antrim,Republican,Wells,12163
,"Judge, Superior Court",Benjamin D. R. Vanderpool,Republican,Wabash,12274
,"Judge, Superior Court",Blaine S. Goode,Republican,Jefferson,8097
,"Judge, Superior Court",Brad Woolley,Republican,White,9302
,"Judge, Superior Court",Brian D. Hill,Republican,Rush,6793
,"Judge, Superior Court",Brian M. Johnson,Republican,Knox,13186
,"Judge, Superior Court",Bruce E. Petit,Republican,Boone,28640
,"Judge, Superior Court",Carrie K. Stiller,Republican,Floyd,23088
,"Judge, Superior Court",Chad M. Miner,Republican,Kosciusko,24186
,"Judge, Superior Court",Christopher A. Buckley,Republican,Porter,43076
,"Judge, Superior Court",Christopher Douglas Kehler,Republican,Kosciusko,29412
,"Judge, Superior Court",Christopher J. (Chris) Spataro,Republican,Elkhart,62422
,"Judge, Superior Court",D.J. Davis,Republican,Hancock,33807
,"Judge, Superior Court",Dale W. Arnett,Republican,Randolph,8899
,"Judge, Superior Court",Dan E. Marshall,Republican,Hancock,33580
,"Judge, Superior Court",Dan Moore,Republican,Tippecanoe,37020
,"Judge, Superior Court",Daniel Petrie,Republican,Montgomery,11252
,"Judge, Superior Court",Darrin M. Dolehanty,Republican,Wayne,21120
,"Judge, Superior Court",David C. Cates,Republican,Kosciusko,29125
,"Judge, Superior Court",David K. Najjar,Republican,Hamilton,134773
,"Judge, Superior Court",David N. Riggins,Republican,Shelby,16188
,"Judge, Superior Court",Dean A. Colvin,Republican,Marshall,15881
,"Judge, Superior Court",Dean A. Sobecki,Republican,Daviess,10492
,"Judge, Superior Court",Debra Sue Andry,Republican,Orange,4702
,"Judge, Superior Court",Dena Benham Martin,Republican,Greene,12601
,"Judge, Superior Court",Denny Bridges,Republican,Putnam,13962
,"Judge, Superior Court",Doug Tate,Republican,Howard,31777
,"Judge, Superior Court",Gail M. Dues,Republican,Jay,7243
,"Judge, Superior Court",Gara U. Lee,Republican,Knox,12924
,"Judge, Superior Court",Gary L. Smith,Republican,Jennings,10024
,"Judge, Superior Court",Gregory A. (Greg) Horn,Republican,Wayne,21340
,"Judge, Superior Court",Gretchen S. Lund,Republican,Elkhart,62386
,"Judge, Superior Court",Heather Barajas,Republican,Montgomery,14513
,"Judge, Superior Court",J. David Grund,Republican,Miami,11968
,"Judge, Superior Court",J. Richard Campbell,Republican,Hamilton,136644
,"Judge, Superior Court",Jaime Oss,Republican,LaPorte,24504
,"Judge, Superior Court",James B. Hancock,Republican,Floyd,25043
,"Judge, Superior Court",Jason McVicker,Republican,Grant,21151
,"Judge, Superior Court",Jeff Sharp,Republican,Ripley,12230
,"Judge, Superior Court",Jeff Todd,Republican,Grant,21137
,"Judge, Superior Court",Jeffrey L. Thorne,Republican,LaPorte,32469
,"Judge, Superior Court",Jennifer Newton,Republican,Huntington,14997
,"Judge, Superior Court",Jonathan L. (Jon) Rohde,Republican,Bartholomew,27946
,"Judge, Superior Court",Jonathan N. Cleary,Republican,Dearborn,22861
,"Judge, Superior Court",Joseph L. Claypool,Republican,Harrison,15710
,"Judge, Superior Court",Justin Harold Hunter,Republican,Clinton,10905
,"Judge, Superior Court",Kristen E. McVey,Republican,Tippecanoe,49528
,"Judge, Superior Court",Kristine Osterday,Republican,Elkhart,61922
,"Judge, Superior Court",Lance Hamner,Republican,Johnson,59086
,"Judge, Superior Court",Lisa M. Bowen-Slaven,Republican,LaGrange,8954
,"Judge, Superior Court",Marla Clark,Republican,Johnson,59499
,"Judge, Superior Court",Matt Sandy,Republican,Tippecanoe,39743
,"Judge, Superior Court",Matthew C. Kincaid,Republican,Boone,29401
,"Judge, Superior Court",Matthew D. Bailey,Republican,Decatur,10587
,"Judge, Superior Court",Mike Fish,Republican,Porter,43388
,"Judge, Superior Court",Patrick R. Miller,Republican,Adams,5456
,"Judge, Superior Court",Paul L. Freed,Republican,Fayette,8374
,"Judge, Superior Court",Peter D. Nugent,Republican,Johnson,59012
,"Judge, Superior Court",Peter R. Foley,Republican,Morgan,29699
,"Judge, Superior Court",R. Kent Apsley,Republican,Shelby,16347
,"Judge, Superior Court",Randy J. Williams,Republican,Tippecanoe,37544
,"Judge, Superior Court",Rhett M. Stuard,Republican,Hendricks,64572
,"Judge, Superior Court",Robert (Bob) Cline,Republican,Lawrence,17343
,"Judge, Superior Court",Russell D. Bailey,Republican,Jasper,12942
,"Judge, Superior Court",Sara A. Dungan,Republican,Morgan,29629
,"Judge, Superior Court",Steven C. Hagen,Republican,Noble,15465
,"Judge, Superior Court",Teresa L. Cataldo,Republican,Elkhart,62372
,"Judge, Superior Court",Torrey J. Bauer,Republican,Kosciusko,28679
,"Judge, Superior Court",Travis Clowers,Republican,Posey,11291
,"Judge, Superior Court",Troy Hawkins,Republican,Carroll,8554
,"Judge, Superior Court",William (Bill) Fee,Republican,Steuben,13450
,"Judge, Superior Court",William J. Hughes,Republican,Hamilton,137393
,Clerk of the Circuit Court,AMY (WALTERS) GRIFFIN,Democratic,Vermillion,3565
,Clerk of the Circuit Court,Barton Heath,Democratic,Warrick,10433
,Clerk of the Circuit Court,C Yvonne Washington,Democratic,Wayne,8826
,Clerk of the Circuit Court,Denny Wilson,Democratic,Scott,3238
,Clerk of the Circuit Court,Kathleen A. Chroback,Democratic,LaPorte,22974
,Clerk of the Circuit Court,Nathaniel J Adams,Democratic,Harrison,4600
,Clerk of the Circuit Court,Sara J Arnold,Democratic,Spencer,4748
,Clerk of the Circuit Court,Sloane Standley,Democratic,Vanderburgh,30749
,Clerk of the Circuit Court,Summer L Sorgius,Democratic,Pike,1583
,Clerk of the Circuit Court,Todd Nation,Democratic,Vigo,18497
,Clerk of the Circuit Court,Vickie Nunez,Democratic,Randolph,3921
,Clerk of the Circuit Court,Amy Ellen (Knox) Jordan,Republican,Clay,10114
,Clerk of the Circuit Court,Angie Buckley,Republican,Rush,6697
,Clerk of the Circuit Court,Ann M Torpy,Republican,Kosciusko,29632
,Clerk of the Circuit Court,Billie Tumey,Republican,Lawrence,17273
,Clerk of the Circuit Court,Bradley M (Brad) Newman,Republican,Vigo,24070
,Clerk of the Circuit Court,Carla J Hayden,Republican,Vanderburgh,43161
,Clerk of the Circuit Court,DARRELL ( HEAVY ) STEPHENS,Republican,Spencer,5772
,Clerk of the Circuit Court,Debra Berry,Republican,Wayne,18323
,Clerk of the Circuit Court,Destry Richey,Republican,Cass,12189
,Clerk of the Circuit Court,Elizabeth (Liz) Jones,Republican,Orange,7314
,Clerk of the Circuit Court,Gayle L Pennington,Republican,Dearborn,22691
,Clerk of the Circuit Court,Ginger J Bradford,Republican,Ripley,11982
,Clerk of the Circuit Court,GRACIE L. YORK,Republican,Vermillion,3697
,Clerk of the Circuit Court,Heather Stevens,Republican,LaPorte,24961
,Clerk of the Circuit Court,Holly A Albright,Republican,DeKalb,16315
,Clerk of the Circuit Court,Jamie S Stegemiller,Republican,Ohio,2553
,Clerk of the Circuit Court,Jessica  Firkins,Republican,Newton,5634
,Clerk of the Circuit Court,Jon Eads,Republican,Jay,7161
,Clerk of the Circuit Court,Karyn D Douglas,Republican,Montgomery,14720
,Clerk of the Circuit Court,Kimberley (Kim) Johnson,Republican,LaGrange,8824
,Clerk of the Circuit Court,Kimberly Pitts,Republican,Blackford,4059
,Clerk of the Circuit Court,Lana Griffith,Republican,Pike,4547
,Clerk of the Circuit Court,Marjorie Pike,Republican,Hendricks,64781
,Clerk of the Circuit Court,Melinda (Mindy) Peed,Republican,Randolph,6915
,Clerk of the Circuit Court,Patricia E. (Patty) Perry,Republican,Warrick,22010
,Clerk of the Circuit Court,Sharon Milburn,Republican,Carroll,8549
,Clerk of the Circuit Court,Sherry L Brown,Republican,Harrison,15116
,Clerk of the Circuit Court,Stephanie K Rockey,Republican,Washington,10011
,Clerk of the Circuit Court,Tammy Bremer,Republican,Noble,15333
,Clerk of the Circuit Court,Wendy McClain,Republican,Scott,6696
,County Auditor,AMY L. TOLBERT,Democratic,Vermillion,3453
,County Auditor,Bobbie Abel,Democratic,Martin,2877
,County Auditor,Carmin M Ruff,Democratic,Pulaski,1983
,County Auditor,Catherine Smith,Democratic,Monroe,42718
,County Auditor,Ida Walter Bahney,Democratic,Fulton,2131
,County Auditor,James (Jamey) Townsend,Democratic,Madison,18771
,County Auditor,James W (Jim) Bramble,Democratic,Vigo,19684
,County Auditor,Kayla Jordan,Democratic,Boone,12932
,County Auditor,Lynne F. Spevak,Democratic,LaPorte,23790
,County Auditor,Michael Roberts,Democratic,Hamilton,71722
,County Auditor,Stephen Beck,Democratic,Hendricks,28208
