County,Office,Candidate,Party,District,Votes
,Township Trustee,Dean Rhoades,Republican,Washington,742
,Township Trustee,DeAnna L Steiner,Republican,WASHINGTON,244
,Township Trustee,Debbie  Keith,Republican,"CLAY 1, CLAY 2",644
,Township Trustee,Debbie Barnett,Republican,WABASH,151
,Township Trustee,Debbie R. Driskell,Republican,DELAWARE,8217
,Township Trustee,Deborah "Deb"  Foreman,Republican,JACKSON,401
,Township Trustee,Deborah (Debbie) Barnett,Republican,BOON TOWNSHIP,2856
,Township Trustee,Deborah Cain,Republican,CENTER,2327
,Township Trustee,Deborah K Ervin-Asberry,Republican,Monroe,417
,Township Trustee,Deborah K. Hatton,Republican,HAWCREEK,868
,Township Trustee,Debra Barnes,Republican,FRANKLIN,345
,Township Trustee,DEBRA D KROEGER,Republican,CLAY TOWNSHIP,852
,Township Trustee,Debra Dale,Republican,LIBERTY,715
,Township Trustee,Dee A Roney,Republican,GEORGETOWN,3603
,Township Trustee,Dee A. Fulford,Republican,HAMILTON,1765
,Township Trustee,Deirdre (DeeDee) Helton,Republican,UNION,137
,Township Trustee,Deloris Locke,Republican,RICH GROVE,168
,Township Trustee,Denise (Cottingham) Bowling ,Republican,HARRISON TOWNSHIPS,934
,Township Trustee,Denise (Dee) Amos,Republican,Van Buren Twp,446
,Township Trustee,Denise Thornburg,Republican,DELAWARE,910
,Township Trustee,Dennis W. Banks,Republican,MILL,2163
,Township Trustee,Diana L Miller,Republican,SMITHFIELD,453
,Township Trustee,Diana Rumbaugh,Republican,ASHLAND,515
,Township Trustee,Diane Espar-Haddad,Republican,COOLSPRING,2016
,Township Trustee,Diane K Perry,Republican,Van Buren,1167
,Township Trustee,Diane M Bosworth,Republican,WHITE RIVER,1626
,Township Trustee,Diann A Sedam,Republican,Noble,430
,Township Trustee,Dick "Uncle Nippy" Bucher,Republican,DEWEY,275
,Township Trustee,Dillon Hall,Republican,GRANT,224
,Township Trustee,Dirk Smith,Republican,OWEN TOWNSHIP,428
,Township Trustee,Don Mercer,Republican,LYNN,288
,Township Trustee,Donald  Gengnagel,Republican,NEWVILLE,144
,Township Trustee,Donald J. Astrike,Republican,PATOKA TWP,1560
,Township Trustee,Donald L Leisure,Republican,ROCK CREEK,108
,Township Trustee,Donald R. Chambers Jr.,Republican,UNION,616
,Township Trustee,Donna B Schwartz,Republican,ELKHART,316
,Township Trustee,Donna J Mcnabb,Republican,Wright,774
,Township Trustee,Donna J Tauber,Republican,SPICELAND,580
,Township Trustee,Donna J Wall,Republican,Jackson,113
,Township Trustee,Doris J Portolese,Republican,Twp PENN,13616
,Township Trustee,Dorothy Jaquemai,Republican,WABASH,6
,Township Trustee,Doug Allman,Republican,FALL CREEK,14671
,Township Trustee,DOUG HARRELL,Republican,LANCASTER,392
,Township Trustee,Douglas P. Dole ,Republican,KELSO TOWNSHIPS,835
,Township Trustee,Douglas Stein,Republican,Richland Twp,1498
,Township Trustee,Dwaine K Ward,Republican,MADISON,137
,Township Trustee,EDWARD K. MORALES,Republican,PORTER,3004
,Township Trustee,Eileen Wacker,Republican,YORK,447
,Township Trustee,Elaine M Western,Republican,ETNA TROY,563
,Township Trustee,Elizabeth A Fry,Republican,MARION TOWNSHIP,568
,Township Trustee,Emily A Meek,Republican,WASHINGTON,158
,Township Trustee,Emily Haskins,Republican,NORTH,968
,Township Trustee,ENOS E SCHWARTZ,Republican,JOHNSON,102
,Township Trustee,Eric H Elwell,Republican,Washington,141
,Township Trustee,Eric Hoppenjans,Republican,WABASH,3763
,Township Trustee,Eric Tippmann,Republican,PERRY,10022
,Township Trustee,Erin Deck,Republican,YORK,204
,Township Trustee,Ethel E Potter-Works,Republican,RANDOLPH,1118
,Township Trustee,Everett (EJ) Carroll,Republican,HUNTINGTON,3946
,Township Trustee,EXZELIA  MONTGOMERY,Republican,HALBERT,466
,Township Trustee,Florence May,Republican,Vernon Township,3429
,Township Trustee,Floyd Fisher,Republican,SALT CREEK TOWNSHIP,96
,Township Trustee,Fran Heintzelman,Republican,SPARTA,499
,Township Trustee,Frank Cederquist,Republican,PERRY,2076
,Township Trustee,Fred A Krieger,Republican,SALTCREEK TOWNSHIP,418
,Township Trustee,Fred Glover,Republican,ADAMS,324
,Township Trustee,Fred J Kunkel,Republican,ROOT TWP,1631
,Township Trustee,Fred L Wilson Jr.,Republican,Prairie Creek,318
,Township Trustee,FRED W. LUNSFORD,Republican,BROWNSVILLE,231
,Township Trustee,Gabriel Paul Babinec,Republican,WASHINGTON,210
,Township Trustee,Gale S. Garner,Republican,TOBIN,238
,Township Trustee,Garry "Spec" Jackson,Republican,Center,781
,Township Trustee,Gary Burdsall,Republican,CENTER,9681
,Township Trustee,Gary K Scherschel,Republican,"INDIAN CREEK NORTH, INDIAN CREEK SOUTH",739
,Township Trustee,Gary L Stroup,Republican,PRAIRIE,399
,Township Trustee,Gary Miller,Republican,POLK,141
,Township Trustee,George  Haskett,Republican,Webster,308
,Township Trustee,George "Chip" McFerran,Republican,Monroe Twp,1693
,Township Trustee,GEORGE H. TOPOLL,Republican,UNION,3086
,Township Trustee,Gerald M (Jerry) Walker,Republican,MONROE TWP,901
,Township Trustee,Geraldine Bunker,Republican,PERU,1842
,Township Trustee,Gina C. Sullivan,Republican,MARION,2020
,Township Trustee,Gina Marquess,Republican,JACKSON,160
,Township Trustee,Glenda S. Campbell,Republican,Paoli,1115
,Township Trustee,Glenn Klaum,Republican,MARION,494
,Township Trustee,Greg Alexander,Republican,UNION,1169
,Township Trustee,Greg Fisher,Republican,UNION,479
,Township Trustee,Greg Fuller,Republican,MADISON,248
,Township Trustee,Greg Valentine,Republican,Green Twp,1792
,Township Trustee,Greggory Callahan,Republican,YORK TOWNSHIP,387
,Township Trustee,Gregory A (Greg) Thacker,Republican,Beech Creek,561
,Township Trustee,Gregory B. Thompson,Republican,LIBERTY,287
,Township Trustee,Gregory L Arnold,Republican,MARION,536
,Township Trustee,Gwendolyn L Ostrom,Republican,Jackson,331
,Township Trustee,Hannah E Burke,Republican,PIKE,113
,Township Trustee,Heather Bledsoe,Republican,WILMINGTON,690
,Township Trustee,Heather S Michael,Republican,WAYNE,736
,Township Trustee,Heidi Laub,Republican,West Creek,2039
,Township Trustee,Helen I Brown,Republican,Clay,480
,Township Trustee,Howard C. Conley,Republican,SPRINGFIELD,903
,Township Trustee,Irene (Renie) Coffman,Republican,WOOD,634
,Township Trustee,Irwin (Irv) Vonderheide,Republican,BROOKVILLE TOWNSHIP,1213
,Township Trustee,Isaac Dean Brown,Republican,WEBSTER,510
,Township Trustee,J.T. Faker,Republican,LINCOLN,140
,Township Trustee,Jack Chase Gentis,Republican,Liberty,309
,Township Trustee,Jacob C Garling,Republican,MONON,554
,Township Trustee,Jacob H Shufflebarger,Republican,JEFFERSON,530
,Township Trustee,Jacob Lucas,Republican,JACKSON,227
,Township Trustee,Jadon  Hinkle,Republican,French Lick,860
,Township Trustee,James (J.C) Mitchell,Republican,Jefferson,482
,Township Trustee,James (Jim) Harris,Republican,ROSS,703
,Township Trustee,James (Jim) Kruse,Republican,SCIPIO,122
,Township Trustee,James (Jim) Weldy,Republican,JEFFERSON,2717
,Township Trustee,James A Redmond,Republican,MONTGOMERY,264
,Township Trustee,James Allen Bottorff,Republican,MONROE,1781
,Township Trustee,James E Brewster,Republican,WAYNE,1753
,Township Trustee,James E Garrett Jr.,Republican,ADDISON,3355
,Township Trustee,James Geis,Republican,FUGIT TOWNSHIP,687
,Township Trustee,James R Sutton,Republican,LIBERTY,453
,Township Trustee,James T Fagan,Republican,Harrison,99
,Township Trustee,James W Montgomery,Republican,SHELBY,457
,Township Trustee,James Yeager,Republican,CLEVELAND,755
,Township Trustee,Jami Pratt,Republican,CENTER,2093
,Township Trustee,Jamie Musall,Republican,ADAMS,139
,Township Trustee,Jamie Rulon,Republican,WHITE RIVER,765
,Township Trustee,Jan Holmes Kirk,Republican,MARSHALL,1298
,Township Trustee,Jane Ann Risley,Republican,IROQUOIS,277
,Township Trustee,Jane Linker,Republican,MADISON,498
,Township Trustee,JANE LYNAM,Republican,HAMMOND TOWNSHIP,473
,Township Trustee,Janet R Archibald,Republican,OIL,244
,Township Trustee,Janice  Newlin,Republican,StampersCreek,210
,Township Trustee,Janice Pile,Republican,JACKSON,608
,Township Trustee,Jason Holliday,Republican,DECATUR,3732
,Township Trustee,Jason Rosenbeck,Republican,WABASH,152
,Township Trustee,Jay Kaho,Republican,Washington,291
,Township Trustee,Jay R. Hammel,Republican,CLEAR CREEK,753
,Township Trustee,Jayne A Lough,Republican,FRANKLIN,462
,Township Trustee,Jayson Combs,Republican,Sugar Creek Township,4307
,Township Trustee,Jeanene K Neuenschwander,Republican,WABASH TWP,1383
,Township Trustee,Jeanie R Williams,Republican,Riley,725
,Township Trustee,Jeanie Stackhouse,Republican,Wayne,6201
,Township Trustee,Jeanne Benjamin,Republican,RANDOLPH,229
,Township Trustee,Jeff Abbott,Republican,MAUMEE,599
,Township Trustee,Jeff Browning,Republican,Noble,221
,Township Trustee,Jeff Himelick,Republican,New Garden,430
,Township Trustee,Jeff Joray,Republican,JACKSON TOWNSHIP,3769
,Township Trustee,Jeff Williams,Republican,LAFAYETTE,2236
,Township Trustee,Jeffery Poole,Republican,WASHINGTON,613
,Township Trustee,Jeffrey (Jeff) Murray,Republican,BLUE RIVER,349
,Township Trustee,Jeffrey C Sigler,Republican,WASHINGTON,273
,Township Trustee,JEFFREY D SPENCER,Republican,GREENSFORK,281
,Township Trustee,Jeffrey Duncan,Republican,SIMS,493
,Township Trustee,Jeffrey W Alexander,Republican,MADISON,295
,Township Trustee,Jennifer (Jenny) J Cline- Wagner,Republican,KNOX,129
,Township Trustee,Jennifer Graper-Greenfield,Republican,GREER TOWNSHIP,540
,Township Trustee,Jennifer M Nies,Republican,Clay,713
,Township Trustee,Jennifer M. Bowers,Republican,MONROE,185
,Township Trustee,Jennifer McBride,Republican,MONROE,429
,Township Trustee,Jeremiah Lipscomb,Republican,FRENCH TWP,265
,Township Trustee,Jeremy E. Arnold,Republican,Jennings,745
,Township Trustee,JEREMY EDWARD GORMAN,Republican,LUCE TOWNSHIP,525
,Township Trustee,Jeremy Payne,Republican,SUGAR CREEK,154
,Township Trustee,Jeremy W. Wathen,Republican,WASHINGTON,145
,Township Trustee,Jerika Clawson,Republican,LAKE,808
,Township Trustee,Jerry D Staller,Republican,BUTLER,449
,Township Trustee,Jerry L Lamb,Republican,POLK,786
,Township Trustee,Jerry L. Larson,Republican,JEFFERSON,381
,Township Trustee,Jerry L. Rooze,Republican,SHELBY,700
,Township Trustee,Jerry McCoskey,Republican,ADAMS TOWNSHIP,159
,Township Trustee,Jerry R Caldwell,Republican,CLAY TOWNSHIPS,638
,Township Trustee,Jerry R. Walden,Republican,BLACK,2053
,Township Trustee,Jessica Kramer,Republican,UNION,1095
,Township Trustee,Jill A Mears,Republican,PRAIRIE,755
,Township Trustee,JILL ELTZROTH,Republican,ROCK CREEK,376
,Township Trustee,Jill Fesler,Republican,Adams Twp,1251
,Township Trustee,Jill Helderman,Republican,GREENE,123
,Township Trustee,Jill R. Fulton ,Republican,MOUND TOWNSHIP,193
,Township Trustee,Jim Baldwin,Republican,Worth,1070
,Township Trustee,Jim E Weeber,Republican,CONCORD,5880
,Township Trustee,Jim Lankford,Republican,JEFFERSON,950
,Township Trustee,Jim Maune ,Republican,JACKSON 1,525
,Township Trustee,Jim Slaven,Republican,WEA,5455
,Township Trustee,Jo Ritchie,Republican,UNION,442
,Township Trustee,Joan Alma,Republican,LIBERTY,562
,Township Trustee,Joe Cazier,Republican,Turkey Creek,2111
,Township Trustee,Joe Herbert,Republican,RAY TOWNSHIP,1213
,Township Trustee,Joe Melhiser,Republican,PATOKA,753
,Township Trustee,Joe Ramey,Republican,RAY,397
,Township Trustee,Joe Steinkamp,Republican,Union Precinct 01,55
,Township Trustee,Joey Rider,Republican,POSEY,255
,Township Trustee,John A Heckard,Republican,Clinton,132
,Township Trustee,John B Davidson,Republican,CLAY,76
,Township Trustee,John D Henry,Republican,PLEASANT,750
,Township Trustee,John Durbin,Republican,UTICA,1661
,Township Trustee,John McPherson,Republican,WASHINGTON,713
,Township Trustee,John R O'Rourke  ,Republican,CARROLLTON,213
,Township Trustee,John Roll,Republican,Franklin,377
,Township Trustee,Jon Engelhaupt,Republican,Monroe,327
,Township Trustee,Jon Fletcher,Republican,GREEN,1051
,Township Trustee,Jon M Hawthorne,Republican,REEVE,172
,Township Trustee,Jonathan Michael Cole,Republican,STONEY CREEK,235
,Township Trustee,Jonetta Knight,Republican,Nineveh,1189
,Township Trustee,Joseph (Joey) Cooper,Republican,FALL CREEK,1246
,Township Trustee,Joseph E. (Joey) Martin,Republican,JACKSON,1702
,Township Trustee,Joseph W Pear,Republican,Miami,359
,Township Trustee,Josh Craft,Republican,Otter Creek,1335
,Township Trustee,Josh Dodds,Republican,BENTON TOWNSHIP,618
,Township Trustee,Joshua  Miller,Republican,Jackson Twp,634
,Township Trustee,Joshua Dove,Republican,ELMORE,250
,Township Trustee,Joshua G Anderson,Republican,WASHINGTON,2465
,Township Trustee,Joy Zigler,Republican,PLEASANT,899
,Township Trustee,Judith Galloway,Republican,Twp CENTRE,3856
,Township Trustee,Judy A. Sebastian,Republican,LAFAYETTE,331
,Township Trustee,Julia A Goon,Republican,Prairie,528
,Township Trustee,Julie A. Hamman,Republican,WASHINGTON,785
,Township Trustee,June Miller,Republican,JACKSON,135
,Township Trustee,Justin Dale,Republican,Stafford,140
,Township Trustee,Kaelynn D. Ludlow-Deckard,Republican,SCIPIO,1413
,Township Trustee,Kaila Stukofski,Republican,BEAVER,121
,Township Trustee,KANDY PEACH,Republican,FULTON TOWNSHIP,140
,Township Trustee,Karen Hall,Republican,PLEASANT,307
,Township Trustee,Karen Jenkins,Republican,Anderson,312
,Township Trustee,Karen Nelson Heavin,Republican,WARREN,341
,Township Trustee,KAREN R. ADWELL,Republican,PINE,119
,Township Trustee,KARYL VANDYKE,Republican,PLEASANT,1435
,Township Trustee,Katherine A Weaver,Republican,BAUGO,2111
,Township Trustee,Kathy A Justice,Republican,LIBERTY,143
,Township Trustee,Kathy E. Morton,Republican,WARREN,208
,Township Trustee,Kathy Haas,Republican,COLFAX,41
,Township Trustee,Kathy J Gordon,Republican,CLEVELAND,2221
,Township Trustee,Kathy L Collom,Republican,RACCOON,119
,Township Trustee,Kathy Taylor,Republican,WASHINGTON,3986
,Township Trustee,Katrina (Trina) L. Morgan-Richards,Republican,SALEM,1096
,Township Trustee,Katrina L McIntosh,Republican,SPARTA TOWNSHIPS,642
,Township Trustee,Kayla  Persinger,Republican,JEFFERSON,247
,Township Trustee,Keith Kahre,Republican,SCOTT,3285
,Township Trustee,Kelli Tanger,Republican,NEW DURHAM,884
,Township Trustee,Kelly Carrico,Republican,Twp UNION,726
,Township Trustee,Kelly Marie Purvis,Republican,COTTON,359
,Township Trustee,Ken Armstrong,Republican,POSEY,405
,Township Trustee,Ken Risch,Republican,Washington,378
,Township Trustee,Kenneth (Sam) Copeland  Jr.,Republican,BROWN,540
,Township Trustee,Kenneth A Miller,Republican,UNION,1414
,Township Trustee,Kenneth A. Yocum,Republican,MONROE,481
,Township Trustee,Kenneth E (Ken) Lindsay,Republican,Twp HARRIS,5096
,Township Trustee,Kerry L Steiner,Republican,HARTFORD TWP,223
,Township Trustee,Kerry Yaw,Republican,HARRISON,741
,Township Trustee,Kevin Bates,Republican,Brandywine Township,619
,Township Trustee,Kevin Bollinger,Republican,WASHINGTON,414
,Township Trustee,Kevin D. Carmichael,Republican,FRANKLIN,1072
,Township Trustee,Kevin Evans,Republican,UNION,170
,Township Trustee,KEVIN FRY,Republican,MADISON,3654
,Township Trustee,Kevin L Wickens,Republican,HELT,726
,Township Trustee,Kevin Toth,Republican,Hanover,5603
,Township Trustee,Khristie Jayne Worl,Republican,CLAY,290
,Township Trustee,Kim Tocco ,Republican,Jackson,847
,Township Trustee,Kim Twibell,Republican,HARRISON,561
,Township Trustee,Kimberly  Koehl,Republican,VAN BUREN,362
,Township Trustee,Kimberly (Kim) Mills,Republican,ABOITE,9852
,Township Trustee,Kimberly A Armes,Republican,HARRISON,227
,Township Trustee,Kimberly Wright,Republican,WASHINGTON,109
,Township Trustee,Kirk B Smith,Republican,Honey Creek,745
,Township Trustee,Korey Hughes,Republican,Lafayette Twp,1017
,Township Trustee,Kristin Watkins,Republican,UNION,332
,Township Trustee,Kyle Hunt,Republican,Harrison,2026
,Township Trustee,KYLE O WISEMAN,Republican,OHIO,194
,Township Trustee,Kylene Simpson,Republican,BROWN,390
,Township Trustee,Lacey Newton,Republican,Decker,66
,Township Trustee,Lance A Lumpkin,Republican,Dalton,211
,Township Trustee,Lance D. Strange,Republican,HANGING GROVE,83
,Township Trustee,Larry A Heckber,Republican,Jefferson,1719
,Township Trustee,Larry D Ferguson,Republican,MONROE,167
,Township Trustee,Larry Downs,Republican,GREEN,147
,Township Trustee,Larry Ellis,Republican,MADISON,2457
,Township Trustee,Larry Gene Hall,Republican,COLUMBIA TWP,296
,Township Trustee,Laura McNamara,Republican,WAYNE,2034
,Township Trustee,Laura N Ankenman,Republican,MANCHESTER TOWNSHIP,880
,Township Trustee,Lawrence Mikesell,Republican,SMYRNA,212
,Township Trustee,Lee Badger,Republican,MADISON,136
,Township Trustee,Leigh Lancia,Republican,TAYLOR,196
,Township Trustee,Lenora K Hoover,Republican,VAN BUREN,233
,Township Trustee,LEONA "KATIE" BUTTS,Republican,HICKORY GROVE,77
,Township Trustee,LEONA J SATTISON ,Republican,CLEAR LAKE TOWNSHIP,313
,Township Trustee,Leonard N. Reese,Republican,MONROE,1144
,Township Trustee,Leroy O. Gentry,Republican,FRANKLIN,317
,Township Trustee,LESLI A HALL,Republican,PLEASANT TOWNSHIP,2351
,Township Trustee,Leslie A Reilly-Green,Republican,KIRKLAND TWP,278
,Township Trustee,Leslie Bruder,Republican,UNION,2131
,Township Trustee,Linda A Hartzell,Republican,OLIVE,926
,Township Trustee,LINDA BIDLACK,Republican,YORK TOWNSHIP,166
,Township Trustee,Linda Chew,Republican,DUDLEY,362
,Township Trustee,Linda Kay Cole Land,Republican,GILL,255
,Township Trustee,Linda King,Republican,BOONE,445
,Township Trustee,Lisa A. Schwinn,Republican,Boone Twp,227
,Township Trustee,Lisa Duncheon,Republican,BARR,732
,Township Trustee,Lisa E Paxton,Republican,HENRY,519
,Township Trustee,Lisa Garrison,Republican,WASHINGTON,510
,Township Trustee,Lisa M. PierzakowskI,Republican,CENTER,5404
,Township Trustee,Lisa Moore,Republican,FLATROCK,499
,Township Trustee,Lisa O'Lena,Republican,OSOLO,5256
,Township Trustee,Lori Harnish,Republican,NOBLE,3460
,Township Trustee,Luanne Reitzel,Republican,FRANKLIN,381
,Township Trustee,Luke Hudnall,Republican,Twp CLAY,4851
,Township Trustee,Lydia J Wales,Republican,"Franklin, Needham, Union",6432
,Township Trustee,Lyle Lepper,Republican,MORAL,1232
,Township Trustee,Lyndon Wicker,Republican,Jackson,1038
,Township Trustee,Lynn C Vesely,Republican,NORTH BEND,325
,Township Trustee,Lynn Davis,Republican,Sugar Creek,510
,Township Trustee,Lynn E Rorick,Republican,JEFFERSON,657
,Township Trustee,M Lynn Beck,Republican,LAURAMIE,629
,Township Trustee,M. Sue Carpenter,Republican,MONTGOMERY,238
,Township Trustee,MAE B PARR,Republican,BOONE,45
,Township Trustee,Marcia A Harness,Republican,Tipton,635
,Township Trustee,MARCIA BOOTS-HELMUTH,Republican,SALEM TOWNSHIP,478
,Township Trustee,Marcia Jura,Republican,TIPPECANOE,666
,Township Trustee,Marcie Blessing,Republican,PINE TOWNSHIP,186
,Township Trustee,Marcus (Marc) Gatton,Republican,SMITH,1351
,Township Trustee,Marcus D. Speer,Republican,ROCKCREEK,420
,Township Trustee,Margaret H. Montgomery,Republican,ROBINSON,1214
,Township Trustee,Margaret Miller,Republican,NEWTON,261
,Township Trustee,Marie D Fishburn,Republican,GREEN,282
,Township Trustee,Marie N Boyd,Republican,WASHINGTON,869
,Township Trustee,Mark (Buck) Jennings,Republican,TROY,78
,Township Trustee,Mark A Madden,Republican,LAFAYETTE,1208
,Township Trustee,Mark A Strong,Republican,Eel,1847
,Township Trustee,Mark A. McCammon,Republican,TAYLOR,274
,Township Trustee,Mark D. Harris,Republican,BROWN,2797
,Township Trustee,Mark Kieffner,Republican,BOONE TWP,293
,Township Trustee,Mark Meyer,Republican,BETHLEHEM,101
,Township Trustee,Mark Strange,Republican,HARRISON,2976
,Township Trustee,Mark W Cotner,Republican,Jefferson,339
,Township Trustee,Mark W Messick,Republican,White River,11639
,Township Trustee,Marla R Milazzo,Republican,CLAY,277
,Township Trustee,Marlene Morrison Mahler,Republican,UNION,906
,Township Trustee,Marsha S Carrington,Republican,FLOYD,1205
,Township Trustee,Marty Stephens,Republican,RICHLAND TOWNSHIP,3290
,Township Trustee,Marvin Gene Eisenhut,Republican,HARBISON TWP,436
,Township Trustee,Mary  Jarvis,Republican,MCCLELLAN,54
,Township Trustee,Mary Dangler,Republican,GRANT,673
,Township Trustee,Mary Dee Shoup,Republican,YORK,860
,Township Trustee,Mary Jo Loop,Republican,GREENVILLE,2210
,Township Trustee,Mary Vandeventer,Republican,WASHINGTON TOWNSHIP,611
,Township Trustee,MATT  REUSS,Republican,CENTER,830
,Township Trustee,Matt Bishop,Republican,GREGG,760
,Township Trustee,MATT KEISER,Republican,LIBERTY,3321
,Township Trustee,Matthew C Weber,Republican,HARRISON,629
,Township Trustee,Matthew D Pitney,Republican,TIPPECANOE,328
,Township Trustee,Matthew R Minier,Republican,COLUMBIA,2838
,Township Trustee,Megan Clouse,Republican,ST MARYS TWP,232
,Township Trustee,Megihann K Leininger,Republican,NEWCASTLE,293
,Township Trustee,Melanie Pottschmidt,Republican,BROWNSTOWN TOWNSHIP,1391
,Township Trustee,Melanie Vanlaningham,Republican,Franklin,316
,Township Trustee,Melinda Grounds,Republican,JEFFERSON,445
,Township Trustee,Melinda L. Clinger,Republican,RICHLAND,280
,Township Trustee,Melissa Eichelberger,Republican,Clearspring,305
,Township Trustee,Melissa M Baker,Republican,FRANKLIN,800
,Township Trustee,Melonie Graves,Republican,Grant,185
,Township Trustee,Michael "Mike" Gayer,Republican,SALEM,340
,Township Trustee,Michael A Ruse,Republican,WALTZ,496
,Township Trustee,Michael Beyerle,Republican,BLUE RIVER,592
,Township Trustee,Michael E Foland,Republican,Union,346
,Township Trustee,Michael Folsom,Republican,Vincennes,3067
,Township Trustee,Michael Gene Marsh,Republican,MONROE,1258
,Township Trustee,Michael H Lee,Republican,WASHINGTON,1613
,Township Trustee,Michael J Kelley,Republican,GENEVA,1470
,Township Trustee,Michael J Lilly,Republican,KEYSER,1321
,Township Trustee,Michael Moesner,Republican,PIGEON TOWNSHIP,276
,Township Trustee,Michael R. Merrill ,Republican,HOGAN TOWNSHIP,279
,Township Trustee,Michael S. Nicholson,Republican,PLEASANT RUN,376
,Township Trustee,Michael Thompson,Republican,FRANKLIN,395
,Township Trustee,Michelle  Cornett,Republican,"SPICE VALLEY NORTH, SPICE VALLEY SOUTH",591
,Township Trustee,Michelle D Schmicker,Republican,MONROE,973
,Township Trustee,Michelle Junkins,Republican,ADAMS,1472
,Township Trustee,Michelle L. Porter,Republican,BONO,187
,Township Trustee,Michelle Pippenger,Republican,GREEN,656
,Township Trustee,Michelle R Guy,Republican,WASHINGTON,3186
,Township Trustee,Micki Simunek,Republican,Buck Creek Township,2280
,Township Trustee,Mike Burch,Republican,MADISON,685
,Township Trustee,Mike Ferman,Republican,METAMORA TOWNSHIP,244
,Township Trustee,Mike Jackson,Republican,HARRISON,446
,Township Trustee,Mike Morgan,Republican,Marion,391
,Township Trustee,Mike Murphy,Republican,CAMPBELL,272
,Township Trustee,Mike Shively,Republican,"ANDERSON 01, ANDERSON 01-01, ANDERSON 01-02, ANDERSON 01-03, ANDERSON 01-04, ANDERSON 01-05, ANDERSON 01-06, ANDERSON 01-07, ANDERSON 02, ANDERSON 02-01, ANDERSON 02-02, ANDERSON 02-03, ANDERSON 02-04, ANDERSON 02-05, ANDERSON 02-06, ANDERSON 02-07, ",7561
,Township Trustee,MILDRED C. BROWN,Republican,LOST RIVER,148
,Township Trustee,Millard Jones,Republican,SHAWSWICK,4605
,Township Trustee,Mindy (Mathis) Jeglum,Republican,BEAVER,361
,Township Trustee,Missy (Eads) Elliott,Republican,PIKE,244
,Township Trustee,Molly  Bradford,Republican,Lake,358
,Township Trustee,Monica Schaefer,Republican,BLUE CREEK TWP,146
,Township Trustee,Monty McMahan,Republican,Posey,305
,Township Trustee,Morgan A Anderson,Republican,DEER CREEK,1162
,Township Trustee,Nancy D Loy,Republican,BIG CREEK,229
,Township Trustee,Nancy L. Morgan,Republican,LINCOLN,419
,Township Trustee,NANCY TAYLOR,Republican,DAVIS TOWNSHIP,143
,Township Trustee,NATHAN J. ROESNER,Republican,WABASH TOWNSHIP,193
,Township Trustee,Nathanael Wilson,Republican,Rockcreek,394
,Township Trustee,Neil H Trisler,Republican,Clark,868
,Township Trustee,Nicholas (Nick) McCollum,Republican,JACKSON,947
,Township Trustee,NICK DAVEY,Republican,PINE,558
,Township Trustee,Nick K Bales,Republican,MICHIGAN,445
,Township Trustee,Nicole Davis,Republican,UNION,345
,Township Trustee,Nicole J Cothern,Republican,Clay,1281
,Township Trustee,Nikki K Hanger,Republican,LAKE,676
,Township Trustee,Norman Hayman,Republican,WAYNE,432
,Township Trustee,P Matthew Incantalupo,Republican,JACKSON,553
,Township Trustee,Pam Chumley,Republican,FRANKLIN,41
,Township Trustee,Pamela  Sebert,Republican,RICHLAND,332
,Township Trustee,Pamela J. Crum,Republican,SHEFFIELD,898
,Township Trustee,Pamela Jamniczky,Republican,CLARK,316
,Township Trustee,Pamela Sporleder,Republican,COLUMBIA,212
,Township Trustee,PAMELLA S MOLTER,Republican,YORK,62
,Township Trustee,Pat McFadden,Republican,CLOVERDALE,1022
,Township Trustee,Patricia Little,Republican,MILLER TOWNSHIPS,2816
,Township Trustee,Patricia M. (Pat) Akins,Republican,Greenfield,191
,Township Trustee,Patty Edwards,Republican,"WASHINGTON 1, WASHINGTON 2, WASHINGTON 3, WASHINGTON 4",1438
,Township Trustee,Patty Hagenmaier,Republican,PERRY,18383
,Township Trustee,Paul  Kingery,Republican,LIBERTY,772
,Township Trustee,Paul A Hardy,Republican,DELAWARE,370
,Township Trustee,Paul D. Hensel,Republican,CLAY,26735
,Township Trustee,Paul L Bremer,Republican,Center,9227
,Township Trustee,Peggy A Hunsberger,Republican,LOCKE,646
,Township Trustee,Peggy L. Evans,Republican,NILES,445
,Township Trustee,Peggy S. Whitlock,Republican,Greenfield,333
,Township Trustee,Peggy Whitacre,Republican,SUGAR CREEK,132
,Township Trustee,Phil Stephens,Republican,HAMBLEN,1331
,Township Trustee,Phyllis Ernst,Republican,PATOKA,2605
,Township Trustee,Rachael N Hardin,Republican,Finley,476
,Township Trustee,Rachel Connall Adams,Republican,"ADAMS TOWNSHIP, ST. PAUL",471
,Township Trustee,Rachel M Carnahan,Republican,Palmyra,362
,Township Trustee,Rachel Wischmeier,Republican,GIBSON,269
,Township Trustee,Ralph D Sherron,Republican,LIBERTY,474
,Township Trustee,Ralph Flowers,Republican,HAMILTON,1732
,Township Trustee,RALPH KUGLER,Republican,STEUBEN TOWNSHIP,599
,Township Trustee,Ralph N. Cory,Republican,DEER CREEK,374
,Township Trustee,Ray B Walton,Republican,Blue River,958
,Township Trustee,Rebecca L Cool,Republican,Clay,253
,Township Trustee,Reggie Wolfe Sr.,Republican,JEFFERSON,487
,Township Trustee,Renee Wiatt,Republican,RUSSELL,204
,Township Trustee,Rex Pinkerton,Republican,JACKSON,199
